YEA	MON	DAY	PRO	NUM	COU	H	MN	SEC	TZ	LAT	LON	COD	CITY		

1879	10	10	C	292	I	13	50	4	-1	45N24	11E 0	VR	VERONA
1879	10	30	C	462	I	20	10	4	-1	45N30	9E 0	NO	NOVARA
1879	11	20	C	476	I	11	10	4	-1	41N 6	14E30	CE	CAPUA
1879	12	2	C	1201	N	10	7	20	0	50N51	5E40	L	MAASTRICHT
1879	12	11	C	339	I	19	40	4	-1	43N42	10E30	PI	MONTOPOLIINVALD
1880	1	2	C	141	F	11	50	40	0	48N50	2E20	75	PARIS 6E
1880	2	5	C	237	F	19	25	40	0	45N46	4E50	69	BELLEVILLESAONE
1880	2	8	C	133	F	20	44	28	0	43N37	3E53	34	LEDEVE
1880	7	15	C	376	I	10	10	4	-1	45N 0	8E 0	TO	TORINO
1880	7	25	C	340	I	14	50	4	-1	44N 0	10E15	SP	MONTEROSSOALMAR
1880	8	11	C	332	I	11	10	4	-1	41N30	13E 0	LT	CORI
1880	8	27	C	480	I	23	25	4	-1	40N54	14E 0	NA	CASTELLAMARE DI
1880	9	6	C	377	I	21	10	4	-1	43N42	10E30	PI	PONTEDERA
1880	9	27	C	449	I	5	10	4	-1	41N54	12E30	RM	ROMA
1880	10	28	C	451	I	5	30	4	-1	45N 0	9E 0	AL	CAPRIATA D'ORBA
1881	2	1	C	1623	B	1	43	0	0	50N51	4E15	BRA	ST-GILLES
1881	2	2	C	447	I	17	40	4	-1	45N24	8E30	VC	POLLONE DI BIEL
1881	2	25	C	778	F	10	54	40	0	44N 1	1E20	82	CASTELSARRAZIN
1881	3	10	C	399	I	2	10	4	-1	44N24	7E15	CN	POCAPAGLIA
1881	3	24	C	504	I	5	20	4	-1	43N42	11E 0	LU	VIAREGGIO
1881	5	20	C	1789	F	6	1	28	0	43N18	0W22	64	CAMBO
1881	5	29	C	954	I	6	10	4	-1	44N36	10E45	RE	REGGIO EMILIA
1881	7	30	C	425	I	3	10	4	-1	43N42	11E30	FI	FIRENZE
1881	8	19	C	1890	F	18	1	28	0	43N18	0W22	64	SALIES-DE-BEARN
1881	8	25	C	128	F	16	50	40	0	48N36	2E20	91	BRUNEY
1881	10	24	C	111	I	22	10	4	-1	45N24	8E30	VC	FOBELLO
1881	11	21	C	822	F	5	57	12	0	47N24	0E42	37	BOSSAY-S/CLAISE
1881	12	12	C	408	I	20	10	4	-1	43N42	10E30	PI	PISA
1882	1	2	C	1273	F	17	50	40	0	48N50	2E20	75	PARIS 17E
1882	1	18	C	146	F	1	50	48	0	49N54	2E18	80	FAVIERES
1882	3	1	C	489	I	16	40	4	-1	41N54	12E30	RM	ROMA
1882	3	5	C	450	I	1	10	4	-1	45N30	12E 0	VI	SCHIO
1882	3	21	C	434	I	13	40	4	-1	45N12	9E 0	PV	PAVIA
1882	3	24	C	1703	F	17	58	40	0	46N35	0E20	86	LIMOGES
1882	4	15	C	178	F	9	21	28	0	48N50	2E 8	78	ST-GERMAIN
1882	6	9	C	1752	F	20	50	40	0	48N50	2E20	75	PARIS 17E
1882	8	31	C	259	I	1	10	4	-1	44N24	9E 0	GE	RAPALLO
1882	9	24	C	2051	F	8	50	40	0	48N50	2E20	75	PARIS
1882	10	18	C	865	F	1	6	20	0	47N13	1W35	44	PLESSE
1882	11	4	C	1224	G	15	24	8	-1	48N19	8E58	HOHE	LUDWIGSHAFEN
1882	11	15	C	2055	F	17	16	40	0	46N34	3E20	03	VICHY
1882	11	21	C	379	I	9	10	4	-1	40N54	14E 0	NA	NAPOLI
1882	12	24	C	189	F	2	51	16	0	48N50	2E11	92	PUTEAUX
1883	1	11	C	394	I	15	10	4	-1	45N30	9E15	MI	MILANO
1883	1	19	C	789	F	3	42	32	0	48N57	4E22	51	REIMS
1883	1	23	C	1929	F	2	50	40	0	48N50	2E20	75	PARIS
1883	3	8	C	1227	F	11	37	48	0	46N40	5E33	39	OFFLANGES
1883	3	23	C	431	I	23	10	4	-1	45N36	9E45	BG	GANDINO
1883	4	14	C	372	I	6	10	4	-1	38N 0	13E30	PA	PALERMO
1883	5	2	C	290	I	19	10	4	-1	45N 0	8E 0	TO	TORINO
1883	5	14	C	510	B	5	42	0	0	51N14	4E30	ANT	ANVERS
1883	6	3	C	285	I	23	25	4	-1	44N24	7E15	CN	FOSSANO
1883	6	9	C	166	F	0	52	0	0	49N 0	2E 0	95	MONTMORENCY
1883	7	3	C	1763	F	21	19	20	0	48N33	2E40	77	MELUN
1883	7	19	C	212	F	20	44	28	0	43N37	3E53	34	PEZENAS
1883	8	8	C	348	I	3	40	4	-1	45N30	9E15	MI	MONZA
1883	8	8	C	388	I	4	55	4	-1	45N 0	8E 0	TO	COLLEGNO
1883	8	25	C	323	I	4	40	4	-1	45N12	9E 0	PV	STRADELLA
1883	9	12	C	1225	G	1	30	0	-1	51N30	7E30	NORD	MORSBACH BEI AA
1883	9	20	C	420	I	12	10	4	-1	40N30	15E45	PZ	ALBANODILUCANIA
1883	11	24	C	506	I	21	10	4	-1	45N24	11E 0	VR	VERONA
1883	12	15	C	1070	B	13	47	0	0	51N13	3E15	WVL	MOORSLEDE
1883	12	20	C	370	I	3	10	4	-1	43N 0	13E45	AP	FORCEDIASCOLIPI
1883	12	21	C	1255	F	12	44	28	0	43N37	3E53	34	SETE
1884	1	5	C	1632	B	22	47	0	0	51N13	3E15	WVL	BRUGES
1884	1	25	C	1054	B	0	42	0	0	50N23	4E30	HAI	ESTAIMPUIS
1884	2	4	C	477	I	5	40	4	-1	45N 0	8E 0	TO	TORINO
1884	3	13	C	457	I	11	10	4	-1	45N30	9E15	MI	MILANO
1884	3	14	C	1067	B	10	45	0	0	51N 5	3E45	OVL	AALTER
1884	4	7	C	883	F	21	2	16	0	43N40	0E36	32	CONDOM
1884	4	24	C	230	F	11	50	40	0	48N50	2E20	75	PARIS 10E
1884	6	2	C	115	I	2	10	4	-1	45N30	9E15	MI	MILANO
1884	6	21	C	255	I	4	10	4	-1	40N54	14E 0	NA	NAPOLI
1884	7	1	C	147	F	20	50	48	0	49N54	2E18	80	FAVIERES
1884	7	12	C	400	I	1	10	4	-1	42N24	12E 0	VT	ORTE
1884	7	15	C	183	F	10	2	16	0	43N40	0E36	32	FLEURANCE
1884	8	3	C	93	F	4	43	40	0	48N18	4E 5	10	TROYES
1884	9	25	C	421	I	11	55	4	-1	44N30	11E 0	BO	BOLOGNA
1884	9	30	C	366	I	8	40	4	-1	43N30	12E 0	AR	AREZZO
1884	10	2	C	144	F	4	50	40	0	48N50	2E20	75	PARIS 11E
1884	10	8	C	486	I	2	45	4	-1	40N48	8E30	SS	SASSARI
1884	10	10	C	1779	F	18	47	40	0	50N39	3E 5	59	LILLE
1884	11	9	C	398	I	13	10	4	-1	45N30	9E15	MI	MILANO
1884	11	17	C	500	I	5	30	4	-1	45N30	9E15	MI	MILANO
1884	11	30	C	1904	F	4	1	28	0	43N18	0W22	64	PAU
1884	12	1	C	1239	F	4	50	40	0	48N50	2E20	75	PARIS 14E
1884	12	12	C	367	I	21	10	4	-1	44N 0	10E15	SP	ARCOLA
1885	1	8	C	358	I	3	15	4	-1	44N18	8E45	SV	LOANO
1885	1	22	C	796	F	0	50	40	0	48N50	2E20	75	PARIS 1ER
